objID	splotZ	alfaZ	sigmaZ	nLines	bestLineID	redCoeff	OIII/Hb	OII/Hb	NII/Ha	SII/Ha	NeIII/Hb	NeIII/OII
2018	0.371381	0.371362	0.00e+00	1	5007							
3241	0.380934	0.380855	7.88e-05	8	5007							
788	0.392316	0.392305	4.92e-05	7	5007							
1210	0.393714	0.393812	9.23e-05	6	5007							
2709	0.393534	0.393530	0.00e+00	1	5007							
1608	0.059120	0.059113	1.67e-05	11	6563							
471	0.381588	0.381545	4.40e-05	6	5007							
2202	0.673347	0.673494	1.21e-06	2	3726							
3530	0.394881	0.394790	7.75e-05	10	5007							
859	0.058317	0.058309	1.64e-05	5	5007							
4237	0.865875	0.866081	0.00e+00	3	3726							
858	0.386129	0.386148	7.53e-06	5	5007							
4918	0.395682	0.395694	2.04e-05	6	3729							
3894	0.863457	0.863308	1.84e-07	2	3729							
5094	0.057552	0.057549	1.53e-05	11	5007							
1627	0.059674	0.059671	1.14e-05	13	6563							
212	0.389870	0.389915	5.83e-05	5	5007							
4126	0.875326	0.875144	1.50e-06	4	3729							
4916	0.869623	0.869718	4.68e-07	2	3729							
5802	0.051532	0.051505	4.41e-05	4	6563							
1237680332187042556	0.339288	0.339274	2.00e-06	5	3726							
3605	0.650984	0.650915	8.72e-07	3	3729							
182	0.855265	0.855205	8.08e-07	2	3729							
2805	0.857840	0.857780	4.08e-05	4	3729							
5468	0.871563	0.871496	1.98e-07	2	3729							
3183	0.393753	0.393732	2.97e-05	8	5007							
1553	0.392982	0.392843	8.09e-05	5	3729							
2127	0.387936	0.388107	nan	1	5007							
2545	0.632545	0.632742	6.24e-07	2	3729							
1257	0.393692	0.393724	8.52e-05	6	5007							
217	0.392506	0.392514	5.25e-05	7	5007							
5219	0.870810	0.870635	3.21e-07	3	3729							
Dot	0.338859	0.338853	1.41e-05	12	5007							
4221	0.382715	0.382780	5.50e-05	3	5007							
4897	0.382444	0.382481	4.19e-05	5	5007							
4381	0.394529	0.394518	1.91e-05	3	5007							
380	0.422404	0.422369	2.96e-05	11	5007							
4002	0.865668	0.865856	5.72e-07	2	3729							
4714	0.393668	0.393691	6.98e-05	6	5007							
1758	0.776439	0.776268	0.00e+00	3	3729							
4765	0.718504	0.718656	6.64e-07	2	3726							
2656	0.392261	0.392269	3.61e-05	7	4861							
1989	0.392447	0.392473	4.35e-05	7	5007							
