objID	lineID	observeW	physicalW	lineZ	flux	sigmaFlux	eqWidth	contAvg	fwhm
1257	3726	5193.362	3726.03	0.393806	2.049e-17	2.367e-18	30.023	6.825e-19	3.607
1257	3729	5197.252	3728.82	0.393806	3.018e-17	2.669e-18	43.657	6.913e-19	3.610
1257	4340	6048.372	4340.47	0.393483	7.231e-18	2.050e-18	8.154	8.868e-19	3.029
1257	4861	6774.792	4861.33	0.393609	1.857e-17	2.470e-18	22.971	8.084e-19	4.075
1257	4959	6910.772	4958.91	0.393607	1.508e-17	3.207e-18	13.086	1.152e-18	4.157
1257	5007	6977.912	5006.84	0.393676	5.542e-17	3.685e-18	51.964	1.067e-18	4.080
217	3726	5188.682	3726.03	0.392550	6.351e-17	4.963e-18	40.414	1.572e-18	3.233
217	3729	5192.562	3728.82	0.392548	9.683e-17	4.610e-18	61.695	1.57e-18	3.235
217	3869	5387.192	3868.75	0.392489	2.649e-17	4.048e-18	15.61	1.697e-18	3.141
217	4340	6043.662	4340.47	0.392398	2.041e-17	3.346e-18	11.932	1.711e-18	3.471
217	4861	6769.662	4861.33	0.392553	5.979e-17	3.435e-18	38.131	1.568e-18	3.993
217	4959	6905.542	4958.91	0.392552	8.743e-17	3.236e-18	57.6	1.518e-18	4.074
217	5007	6972.042	5006.84	0.392503	2.835e-16	3.062e-18	190.524	1.488e-18	3.664
5219	3726	6970.042	3726.03	0.870635	5.102e-17	4.128e-18	29.146	1.751e-18	3.072
5219	3729	6975.262	3728.82	0.870635	6.747e-17	3.981e-18	38.288	1.762e-18	3.074
5219	3869	7237.022	3868.75	0.870636	1.942e-17	3.253e-18	9.698	2.002e-18	3.190
